qacc,sacc,pident,length,mismatch,gapopen,qstart,qlen,sstart,send,evalue,bitscore
Query_5958997,NC_019503.1,100.000,341,0,0,1,341,85118,84778,4.15e-176,630
Query_5958997,OQ174503.1,99.120,341,3,0,1,341,144853,144513,4.18e-171,614
Query_5958997,NC_015457.1,99.112,338,3,0,4,341,84081,83744,1.95e-169,608
Query_5958997,ON645936.1,98.534,341,5,0,1,341,88019,87679,9.06e-168,603
Query_5958997,NC_055741.1,98.534,341,5,0,1,341,83089,83429,9.06e-168,603
Query_5958997,MZ150757.1,98.534,341,5,0,1,341,88522,88182,9.06e-168,603
Query_5958997,PX521588.1,98.240,341,6,0,1,341,74409,74749,4.21e-166,597
Query_5958997,OQ349392.1,98.240,341,6,0,1,341,82476,82816,4.21e-166,597
Query_5958997,OL960581.1,98.240,341,6,0,1,341,84406,84066,4.21e-166,597
Query_5958997,OK272484.1,98.521,338,5,0,4,341,85376,85039,4.21e-166,597
Query_5958997,NC_054899.1,98.521,338,5,0,4,341,61747,61410,4.21e-166,597
Query_5958997,PP738980.1,98.235,340,6,0,2,341,28233,28572,1.52e-165,595
Query_5958997,PZ154895.1,97.947,341,7,0,1,341,58855,59195,1.96e-164,592
Query_5958997,OR887633.1,98.225,338,6,0,4,341,111047,110710,1.96e-164,592
Query_5958997,OR062946.1,98.225,338,6,0,4,341,70806,70469,1.96e-164,592
Query_5958997,NC_054917.1,98.225,338,6,0,4,341,85882,85545,1.96e-164,592
Query_5958997,MZ065353.1,97.947,341,7,0,1,341,142156,142496,1.96e-164,592
Query_5958997,OP172784.1,97.947,341,7,0,1,341,109263,109603,1.96e-164,592
Query_5958997,PX401892.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PX401891.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PX401890.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PX401889.1,98.220,337,6,0,5,341,84885,85221,7.05e-164,590
Query_5958997,PX401888.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PX401887.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PX401886.1,98.220,337,6,0,5,341,84884,85220,7.05e-164,590
Query_5958997,PZ154897.1,97.929,338,7,0,4,341,159953,159616,9.12e-163,586
Query_5958997,PX393108.1,97.929,338,7,0,4,341,133311,132974,9.12e-163,586
Query_5958997,PX645529.1,97.929,338,7,0,4,341,40416,40079,9.12e-163,586
Query_5958997,PQ642267.1,97.929,338,7,0,4,341,149315,148978,9.12e-163,586
Query_5958997,PP925840.1,97.929,338,7,0,4,341,86160,85823,9.12e-163,586
Query_5958997,PP434423.1,97.929,338,7,0,4,341,86378,86041,9.12e-163,586
Query_5958997,OR880646.1,97.929,338,7,0,4,341,84513,84176,9.12e-163,586
Query_5958997,NC_054927.1,97.929,338,7,0,4,341,86186,85849,9.12e-163,586
Query_5958997,MN781580.1,97.929,338,7,0,4,341,85282,84945,9.12e-163,586
Query_5958997,MF327009.1,97.654,341,8,0,1,341,12030,11690,9.12e-163,586
Query_5958997,NC_027353.1,97.633,338,8,0,4,341,85976,85639,1.18e-161,582
Query_5958997,PQ438391.1,97.361,341,9,0,1,341,57404,57744,4.24e-161,580
Query_5958997,NC_042078.1,97.361,341,9,0,1,341,11788,11448,4.24e-161,580
Query_5958997,PQ759884.1,97.067,341,10,0,1,341,81298,81638,1.97e-159,575
Query_5958997,PQ249397.1,97.067,341,10,0,1,341,81298,81638,1.97e-159,575
Query_5958997,NC_054907.1,97.337,338,9,0,4,341,83432,83095,1.97e-159,575
Query_5958997,MW822011.1,97.067,341,10,0,1,341,95657,95997,1.97e-159,575
Query_5958997,MH550421.1,97.337,338,9,0,4,341,83437,83100,1.97e-159,575
Query_5958997,NC_027404.1,97.337,338,9,0,4,341,84648,84311,1.97e-159,575
Query_5958997,PX694294.1,97.337,338,9,0,4,341,77731,77394,1.97e-159,575
Query_5958997,MW749001.1,97.059,340,10,0,2,341,81153,80814,7.10e-159,573
Query_5958997,PX694285.1,96.774,341,11,0,1,341,82152,82492,9.19e-158,569
Query_5958997,PZ019086.1,97.041,338,10,0,4,341,162024,161687,9.19e-158,569
Query_5958997,PZ019084.1,97.041,338,10,0,4,341,158620,158283,9.19e-158,569
Query_5958997,OR757453.1,96.774,341,11,0,1,341,161897,162237,9.19e-158,569
Query_5958997,OQ378934.1,96.481,341,12,0,1,341,144768,145108,4.27e-156,564
Query_5958997,PQ615101.1,96.736,337,11,0,5,341,54579,54915,1.54e-155,562
Query_5958997,OR769032.1,96.736,337,11,0,5,341,161406,161070,1.54e-155,562
